question,response,retrieved_context,retrieve_time_sec,generate_time_sec,precision,recall,f1,correctness,faithfulness,true_abstention
"How does the representation of conditions and states in a Parnas Table for calculating a library due date differ structurally from the representation of pre-conditions and post-conditions in a formal Z specification schema for a ""Return"" operation? -Required source types: both -Brief reasoning type label: structure interpretation",,,0.474,7.718,0.0,0.0,0,0.7897063339678544,N/A,1
"What does a software engineer focus on, as opposed to investigating hardware design or proving algorithms?",,,0.415,3.937,0.0,0.0,0,0.7729547549823651,N/A,1
What are the three strategies for risk reduction?,,,0.456,7.541,0.0,0.0,0,0.7835980160363897,N/A,1
What three milestones common to all software development processes were identified by Boehm?,,,0.546,8.468,0.0,0.0,0,0.7916257923919449,N/A,1
What is an abstraction?,,,0.331,3.23,0.0,0.0,0,0.7808445063211409,N/A,1
How do components interact in a publish-subscribe architecture?,,,0.429,9.186,0.0,0.0,0,0.5514135475514197,N/A,1
What does refactoring refer to in extreme programming?,,,0.334,6.217,0.0,0.0,0,0.7797316403061111,N/A,1
"In the Enrollment Management model used during Digital's Alpha AXP program, what are the four specific sub-elements or factors listed under the COMMITMENT DELEGATION quadrant?",,,0.364,10.254,0.0,0.0,0,0.7770916123463183,N/A,1
What does a process prescribe?,,,0.345,2.764,0.0,0.0,0,0.7823699428758596,N/A,1
"Why did the ""hot standby"" redundancy fault-recovery tactic fail during the Ariane-5 maiden flight, and how does the textbook explain this failure using the inherent difference between hardware failures and software failures? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.496,7.912,0.0,0.0,0,0.7770081277497801,N/A,1
"According to the decision table for library functions, if the input conditions are that the event is reserve and the item is out on loan, what are the exact three actions that must be performed?",,,1.294,10.035,0.0,0.0,0,0.7789180356246675,N/A,1
What information is mapped in a deployment view of an architecture?,,,0.458,3.953,0.0,0.0,0,0.796869177761283,N/A,1
"In the data-module solution architecture for KWIC, what are the four specific data access operations (represented as an annotated arrow) used by the Master control module to interact with the Index module?",,,0.497,8.481,0.0,0.0,0,0.794566170110397,N/A,1
What is a functional requirement?,,,0.316,3.86,0.0,0.0,0,0.7863019265817376,N/A,1
"According to IEEE Standard 729 terminology, what is a fault?",,,2.348,11.433,0.0,0.0,0,0.7774435711813815,N/A,1
"How does a ""pure"" layered architecture (such as the OSI model) utilize the tactics of reducing coupling and using explicit interfaces to minimize the impact on indirectly affected software units when a layer is modified? -Required source types: both -Brief reasoning type label: synthesis",,,0.515,9.774,0.0,0.0,0,0.7918882093963219,N/A,1
"In the decision tree calculating risk exposure for regression testing, what is the exact combined risk exposure value in dollars if the development team chooses not to perform regression testing?",,,0.36,3.094,0.0,0.0,0,0.7720298883229075,N/A,1
What does prototyping mean in the context of user interface prototyping?,,,0.387,6.582,0.0,0.0,0,0.7824661821849034,N/A,1
How do layered systems organize software units?,,,0.481,5.09,0.0,0.0,0,0.7854484204513765,N/A,1
"How does the chronological relationship between errors, faults, and failures described in Chapter 1 fundamentally differ from the analytical direction used when constructing a fault-tree analysis as described in Chapter 5? -Required source types: both -Brief reasoning type label: comparison",,,0.374,10.001,0.0,0.0,0,0.7794533628029688,N/A,1
What is a design constraint?,,,0.417,3.679,0.0,0.0,0,0.30363141832062335,N/A,1
How does the transition from Stage 1 (Application Composition) to Stage 3 (Postarchitecture) in the COCOMO II model change the metrics used to measure system size and the types of cost drivers that are applied to the effort estimate? -Required source types: both -Brief reasoning type label: process reasoning,,,0.523,6.245,0.0,0.0,0,0.7824282901081999,N/A,1
"When quantifying the risk exposure for failing to satisfy a subjective quality requirement like ""usability,"" how can the establishment of specific ""fit criteria"" during the requirements phase alter the parameters used in the risk reduction leverage calculation during project planning? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.491,7.805,0.0,0.0,0,0.024999930110667562,N/A,1
Contrast how the traditional Waterfall process model and the Extreme Programming (XP) agile method handle the documentation of requirements and the adaptation to changing requirements late in the development cycle. -Required source types: text -Brief reasoning type label: comparison,,,0.462,6.317,0.0,0.0,0,0.7914763936258026,N/A,1
What is a process?,,,0.522,6.003,0.0,0.0,0,0.7921837773735608,N/A,1
When are two requirements considered inconsistent?,,,0.23,6.023,0.0,0.0,0,0.7953758529028142,N/A,1
What is layer bridging?,,,0.562,3.167,0.0,0.0,0,0.7908313762074082,N/A,1
When are requirements considered externally complete?,,,0.565,3.321,0.0,0.0,0,0.7956786901090619,N/A,1
"In Lai's notation for process modeling, what is ""Control""?",,,0.506,3.867,0.0,0.0,0,0.797201366404038,N/A,1
"If a risk has an estimated probability of 0.25 and a potential loss impact of $500,000, what is the initial risk exposure, and what mathematical steps must a project manager take next to determine the ""risk reduction leverage"" if a proposed mitigation strategy costs $50,000? -Required source types: both -Brief reasoning type label: process reasoning",,,0.585,17.654,0.0,0.0,0,0.7701488125573953,N/A,1
"According to IEEE Standard 729 terminology, what is a failure?",,,0.999,6.472,0.0,0.0,0,0.7720061077763029,N/A,1
"In a fault tree, when is a parent node drawn as an and-gate?",,,0.387,3.357,0.0,0.0,0,0.7871334117357711,N/A,1
"Why would a highly hierarchical Chief Programmer team structure theoretically face fewer communication bottlenecks than a loosely structured, egoless team when developing a system specified with a tightly coupled algebraic specification notation like SDL Data? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.484,7.327,0.0,0.0,0,0.7969052468131255,N/A,1
"When visually mapping requirements versus specifications, what domain sits exactly at the intersection where the Environment domain overlaps with the System domain?",,,0.397,8.518,0.0,0.0,0,0.7909366966483077,N/A,1
"In software architecture, how does the method of passing and storing data between computational units in a Pipe-and-Filter architecture differ from the interactions in a Blackboard repository architecture? -Required source types: both -Brief reasoning type label: structure interpretation",,,0.521,7.965,0.0,0.0,0,0.8009645995779527,N/A,1
"In the V model, what can unit and integration testing also be used to verify?",,,0.503,4.548,0.0,0.0,0,0.78954164167619,N/A,1
What is the difference between an activity and a milestone?,,,0.369,4.683,0.0,0.0,0,0.7870052859133636,N/A,1
How does a Message Sequence Chart visually depict the passage of time and the creation of new entities differently from how a UML Statechart diagram depicts the local variables and internal activities of a single entity? -Required source types: both -Brief reasoning type label: structure interpretation,,,0.843,8.632,0.0,0.0,0,0.784353542512429,N/A,1
What does an entity in an entity-relationship diagram represent?,,,0.425,5.819,0.0,0.0,0,0.8033441391739699,N/A,1
"Based on the Application Point approach in COCOMO II Stage 1, how do the number of data tables and views determine the complexity weight of a screen, and how is that weight ultimately combined with CASE maturity and developer experience to calculate an initial effort estimate? -Required source types: both -Brief reasoning type label: process reasoning",,,0.65,11.369,0.0,0.0,0,0.7837996741165701,N/A,1
"In the reference architecture model for a compiler, which specific component bridges the gap between the Semantic analyzer and the Code generator?",,,0.506,6.508,0.0,0.0,0,0.7798577079923492,N/A,1
What system functionality do UML use cases model?,,,0.615,3.563,0.0,0.0,0,0.7833802104403872,N/A,1
"According to Abdel-Hamid's system dynamics model of software development, how does increasing the staff size to alleviate schedule pressure inadvertently impact the average nominal potential productivity and communication overhead? -Required source types: both -Brief reasoning type label: causal reasoning",,,0.49,6.343,0.0,0.0,0,0.775614144051745,N/A,1
How is the return on investment (ROI) of a design change calculated?,,,0.388,3.984,0.0,0.0,0,0.7848619344853772,N/A,1
"Based on the distinction between an error, a fault, and a failure outlined in Chapter 1, what does a single-element cut-set (e.g., {A1}) derived from a fault-tree analysis strictly represent in terms of a system's observable behavior versus its internal developer view? -Required source types: both -Brief reasoning type label: synthesis",,,0.473,4.266,0.0,0.0,0,0.43998876453374486,N/A,1
"In an object model, what does an aggregate association indicate?",,,0.374,4.138,0.0,0.0,0,0.650598689765458,N/A,1
What is a precursor?,,,0.408,4.147,0.0,0.0,0,0.7973878215195457,N/A,1
What does the operational specification model allow to be merged?,,,0.491,2.896,0.0,0.0,0,0.7912370109255192,N/A,1
"According to the V-model of software development, how do the specific objectives of validation and verification map to the different testing phases on the right side of the ""V"" relative to the analysis and design phases on the left? -Required source types: both -Brief reasoning type label: synthesis",,,0.492,6.344,0.0,0.0,0,0.7900300073595076,N/A,1
How does the graphical representation of conditions and states in Lai's process transition diagram differ structurally from the representation of enabling conditions and state transitions in a high-level Petri net model like the one used for the library problem? -Required source types: both -Brief reasoning type label: structure interpretation,,,0.826,9.173,0.0,0.0,0,0.7982925903019237,N/A,1
How is the payback period defined?,,,0.481,4.137,0.0,0.0,0,0.7802121430936942,N/A,1
"In the messy UML statechart diagram for the Publication class, what specific input event triggers the transition directly from the onloan state to the recall state?",,,0.478,5.235,0.0,0.0,0,0.7950338322456099,N/A,1
How is a message depicted in a Message Sequence Chart?,,,0.359,3.033,0.0,0.0,0,0.7923962757600267,N/A,1
How is slack time computed using available time and real time?,,,0.353,5.528,0.0,0.0,0,0.7695327899573353,N/A,1
What does the transformational process use to change a specification into a deliverable system?,,,0.343,3.362,0.0,0.0,0,0.788415901871169,N/A,1
"Why might a Chief Programmer team be a poor organizational choice if the majority of the team members are categorized as ""Rational Introverts"" in Jung's work styles framework, and what alternative team structure is recommended for highly uncertain projects? -Required source types: both -Brief reasoning type label: causal reasoning",,,0.348,8.807,0.9999999999,0.0,0.0,0.7856111781314457,N/A,1
What happens when a transition fires in a Petri net?,,,0.4,5.319,0.0,0.0,0,0.7904574210746949,N/A,1
"How does a company mathematically and strategically justify the initial higher development costs of creating a core asset base for a software product line, and how does the ""scoping"" of product commonality affect the eventual return on investment for derived products? -Required source types: text -Brief reasoning type label: causal reasoning",,,0.483,11.258,0.0,0.0,0,0.7959621815123328,N/A,1
"In the Petri net model of the library problem, what specific variables or tuples are shown being passed as inputs into the Process Payment transition?",,,0.524,2.834,0.0,0.0,0,0.7837149577259958,N/A,1
"How does the role of the ""Transformed Specification"" in the operational specification process model conceptually differ from the transition between a throwaway prototype and an evolutionary prototype during the requirements engineering phase? -Required source types: both -Brief reasoning type label: comparison",,,0.542,8.505,0.0,0.0,0,0.7786428044704987,N/A,1
What is the critical path?,,,0.491,4.602,0.0,0.0,0,0.7694829535750692,N/A,1
"How does the Object Constraint Language (OCL) supplement a standard UML class diagram to enforce that no two publications can share the same call number, and what specific OCL navigational constructs are used to express this invariant? -Required source types: both -Brief reasoning type label: structure interpretation",,,0.501,7.783,0.0,0.0,0,0.7959091866003155,N/A,1
"When is the term ""software unit"" used by developers?",,,0.381,3.991,0.0,0.0,0,0.7865016110160452,N/A,1
"In Garvin's five perspectives on quality, what does the manufacturing view examine?",,,1.22,3.233,0.0,0.0,0,0.768220334689497,N/A,1
How does incremental development build up a system?,,,0.307,5.083,0.0,0.0,0,0.7812143138237565,N/A,1
What is a descriptive notation?,,,0.508,5.263,0.0,0.0,0,0.7949205631971472,N/A,1
"If a system is designed using a pure publish-subscribe architectural style with implicit invocation, why would attempting to model the complete system's dynamic behavior using Message Sequence Charts (MSCs) be inherently difficult or misleading regarding the interactions between the publishing and subscribing components? -Required source types: both -Brief reasoning type label: causal reasoning",,,0.446,6.956,0.0,0.0,0,0.5407665919975517,N/A,1
"Using the Critical Path Method (CPM), how does a delay in an activity that has zero slack time logically affect the projected staff-days on a resource histogram, and what is the specific term for the path that contains these zero-slack activities? -Required source types: both -Brief reasoning type label: causal reasoning",,,0.474,9.904,0.0,0.0,0,0.772445868733072,N/A,1
